pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11 
0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,bac latent features,ignore,none,asis,CLOUD,10hp10cv,1,5,403,624,222,0.9,0.9284,random,434,cv,10,10,NA,5,15,1.3312352844514,0.968602964049205,1.30087468028069,1.36411243351176,,,
0.369,0.396,1.17,1.25,1.05,Wed May 02 09:02:38 2018,lars2,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,4,cv,10,10,NA,5,7
0.361,0.395,1.19,1.25,1.06,Wed May 02 09:02:43 2018,lasso,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,4,cv,10,10,NA,5,0.772355989087373
0.363,0.394,1.15,1.25,1.06,Wed May 02 09:02:50 2018,leapBackward,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,5,cv,10,10,NA,5,4
0.363,0.394,1.15,1.25,1.06,Wed May 02 09:02:55 2018,leapForward,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,4,cv,10,10,NA,5,4
0.363,0.394,1.15,1.25,1.06,Wed May 02 09:03:00 2018,leapSeq,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,4,cv,10,10,NA,5,4
0.406,0.409,-1,1.23,0.987,Wed May 02 09:03:05 2018,lm,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,3,cv,10,10,NA,5,TRUE
0.363,0.394,-1,1.25,1.06,Wed May 02 09:03:15 2018,lmStepAIC,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,8,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,PackageFail,Wed May 02 09:03:22 2018,logicBag,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,6
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:03:30 2018,logreg,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,6
0.363,0.394,1.18,1.25,1.06,Wed May 02 09:04:01 2018,M5,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,29,cv,10,10,NA,5,Yes,Yes,Yes
0.363,0.394,1.18,1.25,1.06,Wed May 02 09:04:19 2018,M5Rules,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,16,cv,10,10,NA,5,Yes,Yes
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:04:25 2018,mlpKerasDecay,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,4
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:04:31 2018,mlpKerasDropout,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,4
0.362,0.395,1.19,1.25,1.06,Wed May 02 09:04:59 2018,msaenet,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,26,cv,10,10,NA,5,0.130254229251295,2,2.8071552105248
Fail,Fail,Fail,Fail,PackageFail,Wed May 02 09:05:06 2018,mxnet,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,6
Fail,Fail,Fail,Fail,PackageFail,Wed May 02 09:05:15 2018,mxnetAdam,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,6
-3.443,-2.696,7.37,7.66,7.37,Wed May 02 09:05:28 2018,nnet,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,10,cv,10,10,NA,5,2,2.0691082614987e-05
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:05:36 2018,nnls,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,7
-0.005,0,-1,2.07,1.67,Wed May 02 09:05:41 2018,null,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,3,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:05:52 2018,ordinalNet,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,9
0.194,0.236,1.45,1.58,1.34,Wed May 02 09:06:19 2018,parRF,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,25,cv,10,10,NA,5,5
-3.443,-2.696,7.37,7.66,7.37,Wed May 02 09:06:31 2018,pcaNNet,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,11,cv,10,10,NA,5,2,2.0691082614987e-05
0.121,0.089,1.6,1.89,1.46,Wed May 02 09:06:37 2018,pcr,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,4,cv,10,10,NA,5,8
Fail,Fail,Fail,Fail,PackageFail,Wed May 02 09:06:44 2018,pls,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,6
0.354,0.392,1.16,1.26,1.07,Wed May 02 09:07:32 2018,plsRglm,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,44,cv,10,10,NA,5,3,0.0531754638999701
0.388,0.411,1.31,1.22,1.02,Wed May 02 09:07:43 2018,ppr,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,8,cv,10,10,NA,5,1
Fail,Fail,Fail,Fail,PackageFail,Wed May 02 09:07:50 2018,pythonKnnReg,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,6
-0.384,-0.352,2.59,2.8,2.3,Wed May 02 09:08:38 2018,qrf,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,44,cv,10,10,NA,5,9
0.22,0.248,1.44,1.56,1.3,Wed May 02 09:09:00 2018,ranger,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,20,cv,10,10,NA,5,7,extratrees
0.205,0.261,1.43,1.53,1.32,Wed May 02 09:15:00 2018,Rborist,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,357,cv,10,10,NA,5,9
0.375,0.35,1.48,1.35,1.04,Wed May 02 09:15:09 2018,relaxo,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,7,cv,10,10,NA,5,104.977151254384,0.0526305357925594
0.188,0.235,1.44,1.59,1.35,Wed May 02 09:15:31 2018,rf,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,20,cv,10,10,NA,5,5
0.405,0.408,1.21,1.23,0.988,Wed May 02 09:15:38 2018,ridge,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,6,cv,10,10,NA,5,0.00657593977866964
0.405,0.408,1.21,1.23,0.988,Wed May 02 09:15:45 2018,rlm,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,5,cv,10,10,NA,5,TRUE,psi.hampel
-0.031,-0.015,1.78,2.1,1.71,Wed May 02 09:15:52 2018,rpart,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,5,cv,10,10,NA,5,0.129966039776002
0.075,0.15,-1,1.76,1.53,Wed May 02 09:15:57 2018,rpart1SE,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,3,cv,10,10,NA,5,none
-0.031,-0.015,1.73,2.1,1.71,Wed May 02 09:16:04 2018,rpart2,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,4,cv,10,10,NA,5,1
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:16:09 2018,rqlasso,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,4
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:16:15 2018,rqnc,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,4
0.231,0.286,1.4,1.48,1.28,Wed May 02 09:17:11 2018,RRF,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,55,cv,10,10,NA,5,9,0.314676087582484,0.650639700703323
0.202,0.242,1.45,1.57,1.33,Wed May 02 09:17:39 2018,RRFglobal,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,26,cv,10,10,NA,5,4,0.514516001800075
0.36,0.374,-1,1.3,1.06,Wed May 02 09:17:46 2018,rvmLinear,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,5,cv,10,10,NA,5,none
0.387,0.402,1.21,1.24,1.02,Wed May 02 09:18:01 2018,rvmPoly,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,14,cv,10,10,NA,5,1.83295869729967e-05,1
-0.074,-0.139,2.07,2.36,1.78,Wed May 02 09:18:19 2018,rvmRadial,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,16,cv,10,10,NA,5,0.135621764233023
0.084,0.119,1.73,1.83,1.52,Wed May 02 09:26:14 2018,SBC,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,473,nohyperparameters,4,10,no rep,no min,1,0.5,0
0.406,0.409,1.21,1.23,0.987,Wed May 02 09:26:20 2018,simpls,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,4,cv,10,10,NA,5,8
0.385,0.399,1.18,1.25,1.02,Wed May 02 09:27:40 2018,spikeslab,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,77,cv,10,10,NA,5,7
0.371,0.4,1.21,1.24,1.05,Wed May 02 09:27:52 2018,spls,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,10,cv,10,10,NA,5,4,0.863810821902007,0.197786383097991
-4.085,-3.196,8.34,8.69,8.44,Wed May 02 09:28:00 2018,superpc,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,6,cv,10,10,NA,5,0.0891713658347726,1
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:28:05 2018,svmBoundrangeString,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,4
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:28:11 2018,svmExpoString,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,3
0.418,0.411,1.26,1.22,0.967,Wed May 02 09:29:05 2018,svmLinear,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,53,cv,10,10,NA,5,1.43926373988797
0.418,0.411,1.26,1.22,0.967,Wed May 02 09:30:00 2018,svmLinear2,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,52,cv,10,10,NA,5,1.43926373988797
0.403,0.409,1.2,1.23,0.992,Wed May 02 09:30:08 2018,svmLinear3,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,6,cv,10,10,NA,5,43.626105400307,L1
0.415,0.404,1.26,1.23,0.971,Wed May 02 09:30:17 2018,svmPoly,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,8,cv,10,10,NA,5,3,0.00124363629003666,53.529946046964
0.001,0.004,1.76,2.06,1.66,Wed May 02 09:30:26 2018,svmRadial,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,7,cv,10,10,NA,5,0.0812106424614546,4.61507358138497
0.001,0.004,1.76,2.06,1.66,Wed May 02 09:30:35 2018,svmRadialCost,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,7,cv,10,10,NA,5,4.12643114815072
0.001,0.004,1.76,2.06,1.66,Wed May 02 09:30:43 2018,svmRadialSigma,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,7,cv,10,10,NA,5,0.0812106424614546,4.61507358138497
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:30:49 2018,svmSpectrumString,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,3
0.181,0.21,-1,1.64,1.36,Wed May 02 09:31:00 2018,treebag,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,10,cv,10,10,NA,5,none
0.406,0.409,1.21,1.23,0.987,Wed May 02 09:31:41 2018,widekernelpls,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,6,cv,10,10,NA,5,8
0.322,0.331,1.44,1.39,1.13,Wed May 02 09:32:19 2018,xgbLinear,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,36,cv,10,10,NA,5,66,0.304094292808475,0.000374438449236018,2.66345170978457
0.256,0.315,1.42,1.42,1.24,Wed May 02 09:34:45 2018,xgbTree,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,143,cv,10,10,NA,5,297,3,0.0774696018833201,6.13216385710984,0.4748431048356,14,0.904208695050329
0.198,0.123,1.63,1.82,1.33,Wed May 02 09:35:06 2018,xyf,1,2,sparsity 2 row center,ignore,none,quantile,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,17,cv,10,10,NA,5,4,11,0.722540092235431,rectangular
-3.443,-2.696,7.37,7.66,7.37,Wed May 02 09:38:17 2018,avNNet,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,186,cv,10,10,NA,5,2,2.0691082614987e-05,FALSE
Fail,Fail,Fail,Fail,Fail,Wed May 02 09:38:27 2018,bag,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,7
0.476,0.466,1.05,1.11,0.871,Wed May 02 09:52:28 2018,bagEarth,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,840,cv,10,10,NA,5,8,2
0.473,0.413,-1,1.22,0.876,Wed May 02 09:54:29 2018,bagEarthGCV,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,63,cv,10,10,NA,5,1
0.438,0.449,1.21,1.14,0.933,Wed May 02 10:01:33 2018,bartMachine,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,365,cv,10,10,NA,5,91,1.57338043791242,0.965063970070332,3.55126894637942,0.397422811947763
0.498,0.498,-1,1.04,0.833,Wed May 02 10:01:52 2018,bayesglm,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,7,cv,10,10,NA,5,none
0.515,0.507,0.922,1.02,0.806,Wed May 02 10:14:19 2018,blasso,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,745,cv,10,10,NA,5,0.395572766195983
0.518,0.509,-1,1.02,0.8,Wed May 02 10:49:11 2018,blassoAveraged,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,2088,cv,10,10,NA,5,none
0.522,0.51,-1,1.01,0.793,Wed May 02 11:00:31 2018,bridge,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,677,cv,10,10,NA,5,none
0.524,0.508,0.921,1.02,0.79,Wed May 02 11:03:36 2018,BstLm,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,181,cv,10,10,NA,5,198,0.518422682319302
0.297,0.357,1.32,1.33,1.17,Wed May 02 11:05:04 2018,cforest,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,84,cv,10,10,NA,5,49
0.362,0.386,1.5,1.27,1.06,Wed May 02 11:05:26 2018,ctree,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,20,cv,10,10,NA,5,0.296090795192868
0.265,0.274,1.5,1.5,1.22,Wed May 02 11:05:49 2018,ctree2,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,21,cv,10,10,NA,5,2,0.0526305357925594
0.515,0.5,0.933,1.04,0.805,Wed May 02 11:09:33 2018,cubist,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,222,cv,10,10,NA,5,6,0
-0.346,-0.289,1.96,2.67,2.24,Wed May 02 11:09:48 2018,dnn,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,13,cv,10,10,NA,5,9,15,6,0.126359851751477,0.30690108302515
0.232,0.223,1.12,1.61,1.28,Wed May 02 11:10:14 2018,earth,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,23,cv,10,10,NA,5,8,2
0.375,0.342,1.54,1.36,1.03,Wed May 02 11:10:22 2018,elm,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,6,cv,10,10,NA,5,8,purelin
0.523,0.516,0.938,1,0.793,Wed May 02 11:10:45 2018,enet,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,21,cv,10,10,NA,5,0.35805794945918,0.00657593977866964
0.123,0.125,1.6,1.81,1.46,Wed May 02 11:14:46 2018,evtree,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,238,cv,10,10,NA,5,2.02552647236735
0.394,0.418,1.28,1.2,1,Wed May 02 11:23:05 2018,extraTrees,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,497,cv,10,10,NA,5,49,10
0.5,0.495,0.95,1.05,0.831,Wed May 02 11:23:20 2018,foba,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,2.072,1.788,random,253,10,cv,10,10,NA,5,23,0.00657593977866964
Fail,Fail,Fail,Fail,Fail,Wed May 02 11:23:48 2018,gam,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,26
0.443,0.462,1.07,0.915,0.739,Wed May 02 11:53:50 2018,gamboost,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,667,cv,10,10,NA,5,110,no
0.142,0.136,1.87,1.47,1.14,Wed May 02 12:00:27 2018,gamSpline,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,391,cv,10,10,NA,5,0.192804561229423
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:00:39 2018,gaussprLinear,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,222,9
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:00:39 2018,gaussprLinear,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,624,222,9
0.505,0.475,1.02,0.891,0.655,Wed May 02 12:00:53 2018,gaussprPoly,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,12,cv,10,10,NA,5,1,0.0113331704083959
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:01:11 2018,gaussprRadial,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,222,14
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:01:11 2018,gaussprRadial,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,624,222,14
0.275,0.296,1.49,1.2,0.961,Wed May 02 12:02:53 2018,gbm,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,160,222,1.699,1.883,random,100,cv,10,10,NA,5,548,1,0.0975789954331703,12
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:06:55 2018,gbm_h2o,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,222,235
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:06:55 2018,gbm_h2o,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,1,222,235
0.28,0.283,-1,1.22,0.955,Wed May 02 12:07:04 2018,gcvEarth,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,6,cv,10,10,NA,5,1
0.142,0.136,-1,1.47,1.14,Wed May 02 12:07:12 2018,glm,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,4,cv,10,10,NA,5,none
0.104,0.091,2.17,1.55,1.19,Wed May 02 12:07:25 2018,glm.nb,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,10,cv,10,10,NA,5,identity
0.533,0.466,0.992,0.906,0.617,Wed May 02 12:07:50 2018,glmboost,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,22,cv,10,10,NA,5,790,no
0.522,0.491,1.01,0.864,0.633,Wed May 02 12:08:11 2018,glmnet,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,18,cv,10,10,NA,5,0.546558501431718,0.0861522559959666
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:11:53 2018,glmnet_h2o,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,222,220
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:11:53 2018,glmnet_h2o,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,1,222,220
0.104,0.124,-1,1.49,1.19,Wed May 02 12:14:54 2018,glmStepAIC,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,178,cv,10,10,NA,5,none
0.037,0.076,1.49,1.57,1.28,Wed May 02 12:16:43 2018,icr,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,258,222,1.699,1.883,random,105,cv,10,10,NA,5,21
0.541,0.506,1.07,0.841,0.608,Wed May 02 12:16:51 2018,kernelpls,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,5,cv,10,10,NA,5,16
0.238,0.267,1.53,1.25,1.01,Wed May 02 12:17:26 2018,kknn,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,32,cv,10,10,NA,5,20,2.61001288332045,rectangular
0.209,0.259,1.5,1.26,1.05,Wed May 02 12:17:35 2018,knn,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,6,cv,10,10,NA,5,6
0.001,0,1.86,1.7,1.32,Wed May 02 12:17:48 2018,krlsPoly,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,11,cv,10,10,NA,5,4.06328935440151e-05,3
0.495,0.463,0.99,0.912,0.669,Wed May 02 12:19:33 2018,krlsRadial,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,101,cv,10,10,NA,5,0.0542958783383265,2027.90584131755
0.497,0.468,1.08,0.906,0.669,Wed May 02 12:46:58 2018,lars,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,7,cv,10,10,NA,5,0.0839121285825968
0.547,0.476,1.01,0.89,0.6,Wed May 02 12:47:08 2018,lars2,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,6,cv,10,10,NA,5,38
0.513,0.493,1.11,0.861,0.646,Wed May 02 12:47:18 2018,lasso,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,6,cv,10,10,NA,5,0.0175137002952397
0.515,0.458,1.04,0.919,0.641,Wed May 02 12:47:31 2018,leapBackward,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,9,cv,4,10,no rep,no min,8
0.403,0.356,1.11,1.09,0.791,Wed May 02 12:47:44 2018,leapForward,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,9,cv,4,10,no rep,no min,23
0.547,0.474,1.04,0.892,0.599,Wed May 02 12:48:07 2018,leapSeq,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,19,cv,10,10,NA,5,4
0.142,0.136,-1,1.47,1.14,Wed May 02 12:48:15 2018,lm,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,4,cv,10,10,NA,5,TRUE
0.104,0.124,-1,1.49,1.19,Wed May 02 12:50:33 2018,lmStepAIC,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,136,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,PackageFail,Wed May 02 12:50:53 2018,logicBag,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,222,15
Fail,Fail,Fail,Fail,PackageFail,Wed May 02 12:50:53 2018,logicBag,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,624,222,15
Fail,Fail,Fail,Fail,Fail,Wed May 02 12:51:07 2018,logreg,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,3,222,6
0.484,0.435,1.03,0.959,0.682,Wed May 02 12:52:03 2018,M5,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,53,cv,10,10,NA,5,Yes,Yes,Yes
0.484,0.435,0.969,0.959,0.682,Wed May 02 12:52:41 2018,M5Rules,1,2,sparsity 2 row center,ignore,none,all,ALTA,15th10hp10cv,1,5,403,624,222,1.699,1.883,random,34,cv,10,10,NA,5,Yes,No
