-0.052,-0.031,-1,NA,NA,Thu Aug 10 02:12:14 2017,lmStepAIC,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1130,4,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:12:18 2017,logicBag,8,1,polynomial C1 ^ -2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:12:21 2017,logreg,8,1,polynomial C1 ^ -2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:12:22 2017,M5,8,1,polynomial C1 ^ -2,ignore,none,range01,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:12:23 2017,M5Rules,8,1,polynomial C1 ^ -2,ignore,none,range01,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:12:30 2017,msaenet,8,1,polynomial C1 ^ -2,ignore,none,range01,7,,,,,,,,,,,,,,,
-0.679,-0.797,0,8056.03,2109.106,Thu Aug 10 02:12:36 2017,nnet,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1136,6,cv,5,6,1,5,6,0.0002673792,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:12:39 2017,nnls,8,1,polynomial C1 ^ -2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:12:40 2017,ordinalNet,8,1,polynomial C1 ^ -2,ignore,none,range01,0,,,,,,,,,,,,,,,
-0.022,-0.107,3,4962.963,1284.37,Thu Aug 10 02:13:00 2017,parRF,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1139,20,cv,5,6,1,5,3,,,,,,
0.45,-0.012,0,4534.736,690.977,Thu Aug 10 02:13:09 2017,pcaNNet,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1140,9,cv,5,6,1,5,14,1.29463154484175e-05,,,,,
0.097,-0.011,4,NA,NA,Thu Aug 10 02:13:11 2017,pcr,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1141,2,cv,5,6,1,5,4,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Thu Aug 10 02:13:18 2017,pls,8,1,polynomial C1 ^ -2,ignore,none,range01,9,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:13:22 2017,plsRglm,8,1,polynomial C1 ^ -2,ignore,none,range01,4,,,,,,,,,,,,,,,
-0.187,-0.1,1,NA,NA,Thu Aug 10 02:13:25 2017,ppr,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1144,3,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Thu Aug 10 02:13:33 2017,pythonKnnReg,8,1,polynomial C1 ^ -2,ignore,none,range01,10,,,,,,,,,,,,,,,
0.453,-0.011,7,4533.296,687.563,Thu Aug 10 02:14:08 2017,qrf,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1146,35,cv,5,6,1,5,7,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:14:13 2017,qrnn,8,1,polynomial C1 ^ -2,ignore,none,range01,5,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:14:14 2017,randomGLM,8,1,polynomial C1 ^ -2,ignore,none,range01,0,,,,,,,,,,,,,,,
0.151,-0.001,1,4486.516,1066.722,Thu Aug 10 02:14:22 2017,ranger,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1149,8,cv,5,6,1,5,1,,,,,,
-0.021,-0.087,2,4871.931,1282.898,Thu Aug 10 02:16:13 2017,Rborist,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1150,111,cv,5,6,1,5,2,,,,,,
-0.48,-0.028,1.797,4609.055,1859.225,Thu Aug 10 02:16:16 2017,relaxo,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1151,3,cv,5,6,1,5,1.7971887505,0.8046339436,,,,,
0.156,0.003,1,4467.229,1060.351,Thu Aug 10 02:16:35 2017,rf,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1152,18,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:16:38 2017,ridge,8,1,polynomial C1 ^ -2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:16:42 2017,rlm,8,1,polynomial C1 ^ -2,ignore,none,range01,4,,,,,,,,,,,,,,,
-0.109,-0.107,0,4962.51,1393.473,Thu Aug 10 02:16:45 2017,rpart,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1155,2,cv,5,6,1,5,3.59722198324897e-10,,,,,,
-0.129,-0.121,-1,5025.249,1418.377,Thu Aug 10 02:16:47 2017,rpart1SE,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1156,2,cv,5,6,1,5,none,,,,,,
-0.129,-0.121,8,5025.249,1418.377,Thu Aug 10 02:16:50 2017,rpart2,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1157,2,cv,5,6,1,5,8,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:16:51 2017,rqlasso,8,1,polynomial C1 ^ -2,ignore,none,range01,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:16:52 2017,rqnc,8,1,polynomial C1 ^ -2,ignore,none,range01,1,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:18:18 2017,RRF,8,1,polynomial C1 ^ -2,ignore,none,range01,86,,,,,,,,,,,,,,,
0.138,-0.007,0.15,4514.936,1082.72,Thu Aug 10 02:18:44 2017,RRFglobal,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1161,26,cv,5,6,1,5,1,0.1500487721,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:18:53 2017,rvmLinear,8,1,polynomial C1 ^ -2,ignore,none,range01,9,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:19:39 2017,rvmPoly,8,1,polynomial C1 ^ -2,ignore,none,range01,46,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:20:08 2017,rvmRadial,8,1,polynomial C1 ^ -2,ignore,none,range01,28,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:20:12 2017,SBC,8,1,polynomial C1 ^ -2,ignore,none,range01,3,,,,,,,,,,,,,,,
-0.178,-0.048,1,NA,NA,Thu Aug 10 02:20:14 2017,simpls,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1166,2,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:21:20 2017,spikeslab,8,1,polynomial C1 ^ -2,ignore,none,range01,65,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:21:23 2017,spls,8,1,polynomial C1 ^ -2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:21:27 2017,superpc,8,1,polynomial C1 ^ -2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:21:27 2017,svmBoundrangeString,8,1,polynomial C1 ^ -2,ignore,none,range01,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:21:28 2017,svmExpoString,8,1,polynomial C1 ^ -2,ignore,none,range01,0,,,,,,,,,,,,,,,
NA,NA,115.399,NA,NA,Thu Aug 10 02:21:31 2017,svmLinear,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1172,3,cv,5,6,1,5,115.3993824626,,,,,,
-3.184,-0.392,0.646,6239.465,5255.92,Thu Aug 10 02:21:35 2017,svmLinear2,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1173,4,cv,5,6,1,5,0.6457487595,,,,,,
0.444,-0.011,NA,4532.343,698.895,Thu Aug 10 02:21:45 2017,svmLinear3,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1174,9,cv,5,6,1,5,3.1838976116,L2,,,,,
NA,NA,54.837,NA,NA,Thu Aug 10 02:21:48 2017,svmPoly,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1175,3,cv,5,6,1,5,3,0.0039581974,54.837224147,,,,
NA,NA,34.16,NA,NA,Thu Aug 10 02:21:51 2017,svmRadial,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1176,3,cv,5,6,1,5,0.4411710094,34.1602899098,,,,,
NA,NA,0.335,NA,NA,Thu Aug 10 02:21:54 2017,svmRadialCost,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1177,3,cv,5,6,1,5,0.3347789521,,,,,,
NA,NA,4.954,NA,NA,Thu Aug 10 02:21:57 2017,svmRadialSigma,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1178,3,cv,5,6,1,5,0.8497305268,4.9536808553,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:21:57 2017,svmSpectrumString,8,1,polynomial C1 ^ -2,ignore,none,range01,0,,,,,,,,,,,,,,,
-0.032,-0.07,-1,4796.319,1296.11,Thu Aug 10 02:22:03 2017,treebag,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1180,5,cv,5,6,1,5,none,,,,,,
-0.178,-0.048,1,NA,NA,Thu Aug 10 02:22:16 2017,widekernelpls,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1181,13,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:22:38 2017,WM,8,1,polynomial C1 ^ -2,ignore,none,range01,22,,,,,,,,,,,,,,,
-0.785,-1.077,1.959,NA,NA,Thu Aug 10 02:22:46 2017,xgbLinear,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1183,8,cv,5,6,1,5,68,0.0012995405,0.0214129673,1.9592597138,,,
0.179,-0.002,970,4489.429,1031.174,Thu Aug 10 02:24:24 2017,xgbTree,8,1,polynomial C1 ^ -2,ignore,none,range01,4481.8159706641,random,1184,98,cv,5,6,1,5,970,10,0.2732478379,7.8529212833,0.3041654994,14,0.9942064877
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:24:29 2017,xyf,8,1,polynomial C1 ^ -2,ignore,none,range01,4,,,,,,,,,,,,,,,
0.707,0.658,NA,0.336,0.193,Thu Aug 10 02:49:38 2017,avNNet,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1293,13,cv,5,6,1,5,4,0.00382847,TRUE,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:49:41 2017,bag,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
0.921,0.883,9,0.115,0.052,Thu Aug 10 02:50:45 2017,bagEarth,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1295,64,cv,5,6,1,5,9,2,,,,,
-0.136,-0.199,-1,1.178,0.749,Thu Aug 10 02:51:01 2017,bagEarthGCV,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1296,16,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:51:05 2017,bam,8,1,polynomial C1 t C2,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:51:06 2017,bartMachine,8,1,polynomial C1 t C2,ignore,none,range01,1,,,,,,,,,,,,,,,
-0.076,-0.088,-1,1.068,0.71,Thu Aug 10 02:51:09 2017,bayesglm,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1299,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:51:38 2017,blasso,8,1,polynomial C1 t C2,ignore,none,range01,28,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:52:07 2017,blassoAveraged,8,1,polynomial C1 t C2,ignore,none,range01,29,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:52:35 2017,bridge,8,1,polynomial C1 t C2,ignore,none,range01,28,,,,,,,,,,,,,,,
-0.008,-0.013,45,0.995,0.665,Thu Aug 10 02:53:25 2017,BstLm,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1303,49,cv,5,6,1,5,45,0.1497002563,,,,,
0.022,0.012,7,0.97,0.645,Thu Aug 10 02:53:43 2017,cforest,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1304,18,cv,5,6,1,5,7,,,,,,
0,0,0.996,0.982,0.659,Thu Aug 10 02:53:47 2017,ctree,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1305,3,cv,5,6,1,5,0.9961186247,,,,,,
0.087,-0.109,0.019,1.088,0.602,Thu Aug 10 02:53:50 2017,ctree2,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1306,4,cv,5,6,1,5,9,0.0194877686,,,,,
0.786,0.755,9,0.241,0.141,Thu Aug 10 02:55:50 2017,cubist,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1307,120,cv,5,6,1,5,38,9,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:55:54 2017,DENFIS,8,1,polynomial C1 t C2,ignore,none,range01,4,,,,,,,,,,,,,,,
-0.021,-0.009,0.017,0.991,0.673,Thu Aug 10 02:56:00 2017,dnn,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1309,6,cv,5,6,1,5,17,20,17,0.0449875472,0.0168615345,,
0.975,0.96,12,0.039,0.017,Thu Aug 10 02:56:04 2017,earth,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1310,4,cv,5,6,1,5,12,2,,,,,
-0.125,-0.076,NA,1.057,0.742,Thu Aug 10 02:56:07 2017,elm,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1311,2,cv,5,6,1,5,16,radbas,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:56:11 2017,enet,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
0.379,0.399,1.046,0.591,0.41,Thu Aug 10 02:59:00 2017,evtree,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1313,169,cv,5,6,1,5,1.0456919363,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:59:01 2017,extraTrees,8,1,polynomial C1 t C2,ignore,none,range01,1,,,,,,,,,,,,,,,
-0.03,-0.036,2,1.017,0.679,Thu Aug 10 02:59:04 2017,foba,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1315,3,cv,5,6,1,5,2,1.0562938859,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:59:09 2017,gam,8,1,polynomial C1 t C2,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:59:14 2017,gamboost,8,1,polynomial C1 t C2,ignore,none,range01,5,,,,,,,,,,,,,,,
-0.158,-0.193,4.246,1.171,0.764,Thu Aug 10 02:59:23 2017,gamSpline,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1318,10,cv,5,6,1,5,4.2464284773,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:59:28 2017,gaussprLinear,8,1,polynomial C1 t C2,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:59:36 2017,gaussprPoly,8,1,polynomial C1 t C2,ignore,none,range01,8,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:59:45 2017,gaussprRadial,8,1,polynomial C1 t C2,ignore,none,range01,9,,,,,,,,,,,,,,,
0.276,0.265,4937,0.722,0.477,Thu Aug 10 03:00:22 2017,gbm,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1322,37,cv,5,6,1,5,4937,2,0.2214192252,7,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:00:46 2017,gbm_h2o,8,1,polynomial C1 t C2,ignore,none,range01,24,,,,,,,,,,,,,,,
-0.215,-0.246,-1,1.223,0.801,Thu Aug 10 03:00:49 2017,gcvEarth,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1324,2,cv,5,6,1,5,1,,,,,,
-0.077,-0.089,-1,1.069,0.71,Thu Aug 10 03:00:51 2017,glm,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1325,2,cv,5,6,1,5,none,,,,,,
-0.098,-0.111,NA,1.091,0.724,Thu Aug 10 03:00:55 2017,glm.nb,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1326,4,cv,5,6,1,5,identity,,,,,,
-0.021,-0.029,NA,1.011,0.673,Thu Aug 10 03:01:06 2017,glmboost,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1327,11,cv,5,6,1,5,11,no,,,,,
0,0,1.872,0.982,0.659,Thu Aug 10 03:01:09 2017,glmnet,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1328,3,cv,5,6,1,5,0.4433418103,1.871896956,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:01:33 2017,glmnet_h2o,8,1,polynomial C1 t C2,ignore,none,range01,23,,,,,,,,,,,,,,,
-0.061,-0.073,-1,1.053,0.699,Thu Aug 10 03:01:37 2017,glmStepAIC,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1330,4,cv,5,6,1,5,none,,,,,,
-0.01,-0.001,1,0.983,0.666,Thu Aug 10 03:01:44 2017,icr,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1331,6,cv,5,6,1,5,1,,,,,,
-0.078,-0.09,2,1.071,0.711,Thu Aug 10 03:01:46 2017,kernelpls,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1332,2,cv,5,6,1,5,2,,,,,,
0.24,0.195,NA,0.79,0.501,Thu Aug 10 03:01:59 2017,kknn,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1333,12,cv,5,6,1,5,9,1.7771089368,cos,,,,
0.164,0.154,17,0.831,0.551,Thu Aug 10 03:02:01 2017,knn,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1334,2,cv,5,6,1,5,17,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:05 2017,krlsPoly,8,1,polynomial C1 t C2,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:09 2017,krlsRadial,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
-0.025,-0.036,0.294,1.017,0.676,Thu Aug 10 03:02:11 2017,lars,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1337,2,cv,5,6,1,5,0.2938349431,,,,,,
-0.016,-0.021,3,1.003,0.67,Thu Aug 10 03:02:13 2017,lars2,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1338,2,cv,5,6,1,5,3,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:16 2017,lasso,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
-0.077,-0.089,8,1.069,0.71,Thu Aug 10 03:02:18 2017,leapBackward,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1340,2,cv,5,6,1,5,8,,,,,,
-0.076,-0.088,7,1.068,0.71,Thu Aug 10 03:02:21 2017,leapForward,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1341,2,cv,5,6,1,5,7,,,,,,
-0.096,-0.102,5,1.082,0.723,Thu Aug 10 03:02:23 2017,leapSeq,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1342,2,cv,5,6,1,5,5,,,,,,
-0.077,-0.089,-1,1.069,0.71,Thu Aug 10 03:02:25 2017,lm,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1343,2,cv,5,6,1,5,TRUE,,,,,,
-0.061,-0.073,-1,1.053,0.699,Thu Aug 10 03:02:29 2017,lmStepAIC,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1344,3,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:32 2017,logicBag,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:36 2017,logreg,8,1,polynomial C1 t C2,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:37 2017,M5,8,1,polynomial C1 t C2,ignore,none,range01,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:37 2017,M5Rules,8,1,polynomial C1 t C2,ignore,none,range01,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:44 2017,msaenet,8,1,polynomial C1 t C2,ignore,none,range01,7,,,,,,,,,,,,,,,
0.881,0.88,0,0.118,0.079,Thu Aug 10 03:02:51 2017,nnet,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1350,6,cv,5,6,1,5,9,0.000401102,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:54 2017,nnls,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:02:55 2017,ordinalNet,8,1,polynomial C1 t C2,ignore,none,range01,0,,,,,,,,,,,,,,,
0.13,-0.001,6,0.983,0.574,Thu Aug 10 03:03:18 2017,parRF,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1353,23,cv,5,6,1,5,6,,,,,,
0.897,0.875,0,0.123,0.068,Thu Aug 10 03:03:25 2017,pcaNNet,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1354,7,cv,5,6,1,5,19,0.0001176524,,,,,
-0.075,-0.088,6,1.068,0.709,Thu Aug 10 03:03:28 2017,pcr,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1355,2,cv,5,6,1,5,6,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Thu Aug 10 03:03:35 2017,pls,8,1,polynomial C1 t C2,ignore,none,range01,9,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:03:39 2017,plsRglm,8,1,polynomial C1 t C2,ignore,none,range01,4,,,,,,,,,,,,,,,
0.903,0.741,5,0.254,0.064,Thu Aug 10 03:03:43 2017,ppr,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1358,4,cv,5,6,1,5,5,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Thu Aug 10 03:03:51 2017,pythonKnnReg,8,1,polynomial C1 t C2,ignore,none,range01,12,,,,,,,,,,,,,,,
-0.427,-0.249,7,1.227,0.941,Thu Aug 10 03:04:41 2017,qrf,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1360,51,cv,5,6,1,5,7,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:04:46 2017,qrnn,8,1,polynomial C1 t C2,ignore,none,range01,5,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:04:47 2017,randomGLM,8,1,polynomial C1 t C2,ignore,none,range01,0,,,,,,,,,,,,,,,
0.229,0.036,9,0.947,0.508,Thu Aug 10 03:04:58 2017,ranger,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1363,11,cv,5,6,1,5,9,,,,,,
0.219,0.008,9,0.975,0.515,Thu Aug 10 03:08:21 2017,Rborist,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1364,203,cv,5,6,1,5,9,,,,,,
-6.362,-4.044,76.874,4.953,4.855,Thu Aug 10 03:08:25 2017,relaxo,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1365,3,cv,5,6,1,5,76.874468463,0.7482967302,,,,,
0.168,0.011,7,0.971,0.549,Thu Aug 10 03:08:47 2017,rf,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1366,22,cv,5,6,1,5,7,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:08:51 2017,ridge,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:08:55 2017,rlm,8,1,polynomial C1 t C2,ignore,none,range01,4,,,,,,,,,,,,,,,
-0.293,-0.329,0.002,1.305,0.853,Thu Aug 10 03:08:57 2017,rpart,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1369,2,cv,5,6,1,5,0.0022727243,,,,,,
-0.264,-0.326,-1,1.302,0.834,Thu Aug 10 03:08:59 2017,rpart1SE,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1370,2,cv,5,6,1,5,none,,,,,,
-0.264,-0.326,11,1.302,0.834,Thu Aug 10 03:09:02 2017,rpart2,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1371,3,cv,5,6,1,5,11,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:09:03 2017,rqlasso,8,1,polynomial C1 t C2,ignore,none,range01,1,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:09:04 2017,rqnc,8,1,polynomial C1 t C2,ignore,none,range01,1,,,,,,,,,,,,,,,
0.246,0.049,0.854,0.933,0.497,Thu Aug 10 03:10:04 2017,RRF,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1374,59,cv,5,6,1,5,6,0.0546773605,0.8539027157,,,,
0.208,0.016,0.723,0.966,0.522,Thu Aug 10 03:10:25 2017,RRFglobal,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1375,21,cv,5,6,1,5,9,0.7229504823,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:10:33 2017,rvmLinear,8,1,polynomial C1 t C2,ignore,none,range01,8,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:11:16 2017,rvmPoly,8,1,polynomial C1 t C2,ignore,none,range01,43,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:12:03 2017,rvmRadial,8,1,polynomial C1 t C2,ignore,none,range01,46,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:12:07 2017,SBC,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
-0.069,-0.084,1,1.064,0.705,Thu Aug 10 03:12:09 2017,simpls,8,1,polynomial C1 t C2,ignore,none,range01,0.9818979699,random,1380,2,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:13:15 2017,spikeslab,8,1,polynomial C1 t C2,ignore,none,range01,66,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 03:13:19 2017,spls,8,1,polynomial C1 t C2,ignore,none,range01,3,,,,,,,,,,,,,,,
