0.335,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNet,8,1,basic latent features,ignore,none,asis,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:52:34 2017,ordinalNet,8,1,polynomial C1 ^ .5,ignore,none,asis,0,,,,,,,,,,,,,,,
0.94,0.908,8,0.03,0.015,Thu Aug 10 01:52:44 2017,parRF,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1032,10,cv,5,6,1,5,8,,,,,,
0.695,0.558,0.015,0.146,0.078,Thu Aug 10 01:52:50 2017,pcaNNet,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1033,6,cv,5,6,1,5,15,0.0154051876,,,,,
-0.013,-0.017,1,0.336,0.259,Thu Aug 10 01:52:52 2017,pcr,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1034,2,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Thu Aug 10 01:52:59 2017,pls,8,1,polynomial C1 ^ .5,ignore,none,asis,9,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:53:03 2017,plsRglm,8,1,polynomial C1 ^ .5,ignore,none,asis,4,,,,,,,,,,,,,,,
0.99,0.986,1,0.005,0.003,Thu Aug 10 01:53:06 2017,ppr,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1037,3,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Thu Aug 10 01:53:13 2017,pythonKnnReg,8,1,polynomial C1 ^ .5,ignore,none,asis,10,,,,,,,,,,,,,,,
0.567,0.566,6,0.144,0.111,Thu Aug 10 01:53:28 2017,qrf,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1039,15,cv,5,6,1,5,6,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:53:34 2017,qrnn,8,1,polynomial C1 ^ .5,ignore,none,asis,5,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:53:34 2017,randomGLM,8,1,polynomial C1 ^ .5,ignore,none,asis,0,,,,,,,,,,,,,,,
0.963,0.944,9,0.018,0.01,Thu Aug 10 01:53:41 2017,ranger,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1042,6,cv,5,6,1,5,9,,,,,,
0.974,0.947,9,0.018,0.007,Thu Aug 10 01:55:02 2017,Rborist,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1043,81,cv,5,6,1,5,9,,,,,,
0.09,0.246,49.874,NA,NA,Thu Aug 10 01:55:05 2017,relaxo,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1044,3,cv,5,6,1,5,49.8736674121,0.2176070332,,,,,
0.961,0.943,9,0.019,0.01,Thu Aug 10 01:55:15 2017,rf,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1045,9,cv,5,6,1,5,9,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:55:18 2017,ridge,8,1,polynomial C1 ^ .5,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:55:22 2017,rlm,8,1,polynomial C1 ^ .5,ignore,none,asis,4,,,,,,,,,,,,,,,
0.808,0.817,0.002,0.061,0.049,Thu Aug 10 01:55:24 2017,rpart,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1048,2,cv,5,6,1,5,0.0019256134,,,,,,
0.808,0.817,-1,0.061,0.049,Thu Aug 10 01:55:27 2017,rpart1SE,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1049,2,cv,5,6,1,5,none,,,,,,
0.808,0.817,5,0.061,0.049,Thu Aug 10 01:55:29 2017,rpart2,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1050,2,cv,5,6,1,5,5,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:55:30 2017,rqlasso,8,1,polynomial C1 ^ .5,ignore,none,asis,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:55:31 2017,rqnc,8,1,polynomial C1 ^ .5,ignore,none,asis,0,,,,,,,,,,,,,,,
0.925,0.886,0.624,0.038,0.019,Thu Aug 10 01:55:50 2017,RRF,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1053,18,cv,5,6,1,5,7,0.3816216663,0.6235001893,,,,
0.97,0.963,0.784,0.012,0.008,Thu Aug 10 01:56:01 2017,RRFglobal,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1054,11,cv,5,6,1,5,9,0.784289656,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:56:05 2017,rvmLinear,8,1,polynomial C1 ^ .5,ignore,none,asis,5,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:56:19 2017,rvmPoly,8,1,polynomial C1 ^ .5,ignore,none,asis,13,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:56:33 2017,rvmRadial,8,1,polynomial C1 ^ .5,ignore,none,asis,13,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:56:36 2017,SBC,8,1,polynomial C1 ^ .5,ignore,none,asis,3,,,,,,,,,,,,,,,
0.725,0.711,8,NA,NA,Thu Aug 10 01:56:38 2017,simpls,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1059,2,cv,5,6,1,5,8,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:57:45 2017,spikeslab,8,1,polynomial C1 ^ .5,ignore,none,asis,66,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:57:49 2017,spls,8,1,polynomial C1 ^ .5,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:57:52 2017,superpc,8,1,polynomial C1 ^ .5,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:57:53 2017,svmBoundrangeString,8,1,polynomial C1 ^ .5,ignore,none,asis,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:57:53 2017,svmExpoString,8,1,polynomial C1 ^ .5,ignore,none,asis,0,,,,,,,,,,,,,,,
NA,NA,0.409,NA,NA,Thu Aug 10 01:58:25 2017,svmLinear,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1065,32,cv,5,6,1,5,0.4088660343,,,,,,
0.648,0.696,0.263,NA,NA,Thu Aug 10 01:59:08 2017,svmLinear2,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1066,42,cv,5,6,1,5,0.2632488614,,,,,,
-0.482,-0.185,NA,NA,NA,Thu Aug 10 01:59:13 2017,svmLinear3,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1067,5,cv,5,6,1,5,8.2544576206,L2,,,,,
NA,NA,7.333,NA,NA,Thu Aug 10 01:59:16 2017,svmPoly,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1068,3,cv,5,6,1,5,1,0.0101124875,7.3333615363,,,,
NA,NA,0.93,NA,NA,Thu Aug 10 01:59:19 2017,svmRadial,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1069,3,cv,5,6,1,5,0.034537727,0.9304470192,,,,,
NA,NA,113.768,NA,NA,Thu Aug 10 01:59:22 2017,svmRadialCost,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1070,3,cv,5,6,1,5,113.7681112978,,,,,,
NA,NA,12.175,NA,NA,Thu Aug 10 01:59:25 2017,svmRadialSigma,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1071,3,cv,5,6,1,5,0.0364004332,12.174964497,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:59:25 2017,svmSpectrumString,8,1,polynomial C1 ^ .5,ignore,none,asis,0,,,,,,,,,,,,,,,
0.873,0.827,-1,0.057,0.033,Thu Aug 10 01:59:31 2017,treebag,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1073,5,cv,5,6,1,5,none,,,,,,
0.725,0.711,8,NA,NA,Thu Aug 10 01:59:35 2017,widekernelpls,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1074,4,cv,5,6,1,5,8,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 01:59:46 2017,WM,8,1,polynomial C1 ^ .5,ignore,none,asis,11,,,,,,,,,,,,,,,
0.976,0.97,2.534,0.01,0.006,Thu Aug 10 01:59:53 2017,xgbLinear,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1076,7,cv,5,6,1,5,61,0.0001941404,0.0011840969,2.5335666609,,,
0.607,0.534,417,0.154,0.101,Thu Aug 10 02:00:40 2017,xgbTree,8,1,polynomial C1 ^ .5,ignore,none,asis,0.330783087,random,1077,47,cv,5,6,1,5,417,1,0.4231676235,0.8919110545,0.4184456507,20,0.5648434504
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:00:44 2017,xyf,8,1,polynomial C1 ^ .5,ignore,none,asis,4,,,,,,,,,,,,,,,
0.444,-0.013,NA,1978.551,318.907,Thu Aug 10 02:24:39 2017,avNNet,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1186,9,cv,5,6,1,5,1,0.0001592682,FALSE,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:24:42 2017,bag,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
-0.649,-0.519,4,NA,NA,Thu Aug 10 02:25:48 2017,bagEarth,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1188,65,cv,5,6,1,5,4,1,,,,,
-1.637,-1.03,-1,NA,NA,Thu Aug 10 02:26:03 2017,bagEarthGCV,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1189,15,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:26:07 2017,bam,8,1,polynomial C1 ^ -2,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:26:08 2017,bartMachine,8,1,polynomial C1 ^ -2,ignore,none,asis,1,,,,,,,,,,,,,,,
-1.074,-0.165,-1,NA,NA,Thu Aug 10 02:26:11 2017,bayesglm,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1192,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:26:39 2017,blasso,8,1,polynomial C1 ^ -2,ignore,none,asis,28,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:27:07 2017,blassoAveraged,8,1,polynomial C1 ^ -2,ignore,none,asis,28,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:27:35 2017,bridge,8,1,polynomial C1 ^ -2,ignore,none,asis,28,,,,,,,,,,,,,,,
-1.037,-0.161,374,NA,NA,Thu Aug 10 02:28:55 2017,BstLm,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1196,79,cv,5,6,1,5,374,0.1387883355,,,,,
0.168,-0.001,6,1955.283,476.706,Thu Aug 10 02:29:21 2017,cforest,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1197,26,cv,5,6,1,5,6,,,,,,
-0.35,-0.007,0.924,1965.778,774.01,Thu Aug 10 02:29:24 2017,ctree,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1198,3,cv,5,6,1,5,0.9237418098,,,,,,
-0.35,-0.007,0.378,1965.778,774.01,Thu Aug 10 02:29:28 2017,ctree2,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1199,3,cv,5,6,1,5,2,0.3784855828,,,,,
-1.396,-1.084,5,4069.988,1373.626,Thu Aug 10 02:30:32 2017,cubist,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1200,63,cv,5,6,1,5,57,5,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:30:36 2017,DENFIS,8,1,polynomial C1 ^ -2,ignore,none,asis,4,,,,,,,,,,,,,,,
-0.199,-0.002,0.047,1956.978,687.554,Thu Aug 10 02:30:41 2017,dnn,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1202,5,cv,5,6,1,5,12,4,7,0.0175922084,0.0474788285,,
0.077,0.196,4,NA,NA,Thu Aug 10 02:30:45 2017,earth,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1203,4,cv,5,6,1,5,4,1,,,,,
-0.275,-0.046,NA,NA,NA,Thu Aug 10 02:30:48 2017,elm,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1204,2,cv,5,6,1,5,7,tansig,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:30:51 2017,enet,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
0.602,0.259,1.925,1446.744,227.881,Thu Aug 10 02:32:41 2017,evtree,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1206,110,cv,5,6,1,5,1.925379348,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:32:42 2017,extraTrees,8,1,polynomial C1 ^ -2,ignore,none,asis,1,,,,,,,,,,,,,,,
-0.391,-0.019,7,1989.141,797.575,Thu Aug 10 02:32:45 2017,foba,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1208,3,cv,5,6,1,5,7,3.0110896605,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:32:49 2017,gam,8,1,polynomial C1 ^ -2,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:32:54 2017,gamboost,8,1,polynomial C1 ^ -2,ignore,none,asis,5,,,,,,,,,,,,,,,
-1.074,-0.165,0.145,NA,NA,Thu Aug 10 02:33:03 2017,gamSpline,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1211,9,cv,5,6,1,5,0.1449287834,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:33:07 2017,gaussprLinear,8,1,polynomial C1 ^ -2,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:33:15 2017,gaussprPoly,8,1,polynomial C1 ^ -2,ignore,none,asis,8,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:33:24 2017,gaussprRadial,8,1,polynomial C1 ^ -2,ignore,none,asis,9,,,,,,,,,,,,,,,
-0.909,0.276,1226,NA,NA,Thu Aug 10 02:33:52 2017,gbm,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1215,28,cv,5,6,1,5,1226,1,0.1152650469,22,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:34:16 2017,gbm_h2o,8,1,polynomial C1 ^ -2,ignore,none,asis,23,,,,,,,,,,,,,,,
-2.195,-1.852,-1,NA,NA,Thu Aug 10 02:34:18 2017,gcvEarth,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1217,2,cv,5,6,1,5,1,,,,,,
-1.074,-0.165,-1,NA,NA,Thu Aug 10 02:34:20 2017,glm,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1218,2,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:34:28 2017,glm.nb,8,1,polynomial C1 ^ -2,ignore,none,asis,8,,,,,,,,,,,,,,,
-0.406,-0.028,NA,NA,NA,Thu Aug 10 02:34:39 2017,glmboost,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1220,10,cv,5,6,1,5,363,yes,,,,,
-1.062,-0.162,5.018,NA,NA,Thu Aug 10 02:34:42 2017,glmnet,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1221,3,cv,5,6,1,5,0.5207225764,5.0177780439,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:35:05 2017,glmnet_h2o,8,1,polynomial C1 ^ -2,ignore,none,asis,23,,,,,,,,,,,,,,,
-0.35,-0.007,-1,1965.778,774.01,Thu Aug 10 02:35:10 2017,glmStepAIC,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1223,4,cv,5,6,1,5,none,,,,,,
-0.347,-0.008,2,1968.956,772.372,Thu Aug 10 02:35:17 2017,icr,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1224,7,cv,5,6,1,5,2,,,,,,
-1.023,-0.163,1,NA,NA,Thu Aug 10 02:35:19 2017,kernelpls,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1225,2,cv,5,6,1,5,1,,,,,,
-0.031,-0.04,NA,2030.362,590.794,Thu Aug 10 02:35:30 2017,kknn,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1226,11,cv,5,6,1,5,60,0.9387265162,epanechnikov,,,,
-0.134,-0.036,72,2023.75,650.285,Thu Aug 10 02:35:33 2017,knn,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1227,2,cv,5,6,1,5,72,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:35:37 2017,krlsPoly,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:35:40 2017,krlsRadial,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
-0.354,-0.009,0.019,1971.195,776,Thu Aug 10 02:35:43 2017,lars,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1230,2,cv,5,6,1,5,0.0187001964,,,,,,
-0.398,-0.025,4,2002.277,801.251,Thu Aug 10 02:35:45 2017,lars2,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1231,2,cv,5,6,1,5,4,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:35:48 2017,lasso,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
-0.914,-0.121,3,NA,NA,Thu Aug 10 02:35:50 2017,leapBackward,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1233,2,cv,5,6,1,5,3,,,,,,
-0.914,-0.121,3,NA,NA,Thu Aug 10 02:35:52 2017,leapForward,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1234,2,cv,5,6,1,5,3,,,,,,
-0.625,-0.093,2,NA,NA,Thu Aug 10 02:35:55 2017,leapSeq,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1235,2,cv,5,6,1,5,2,,,,,,
-1.074,-0.165,-1,NA,NA,Thu Aug 10 02:35:57 2017,lm,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1236,2,cv,5,6,1,5,TRUE,,,,,,
-0.35,-0.007,-1,1965.778,774.01,Thu Aug 10 02:36:01 2017,lmStepAIC,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1237,4,cv,5,6,1,5,none,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:36:04 2017,logicBag,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:36:08 2017,logreg,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:36:09 2017,M5,8,1,polynomial C1 ^ -2,ignore,none,asis,1,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:36:09 2017,M5Rules,8,1,polynomial C1 ^ -2,ignore,none,asis,1,,,,,,,,,,,,,,,
-0.51,-0.05,2.147,NA,NA,Thu Aug 10 02:36:18 2017,msaenet,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1242,8,cv,5,6,1,5,0.2620021951,7,2.1465247326,,,,
0.444,-0.013,0.018,1978.551,318.907,Thu Aug 10 02:36:21 2017,nnet,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1243,3,cv,5,6,1,5,7,0.0180011806,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:36:24 2017,nnls,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:36:25 2017,ordinalNet,8,1,polynomial C1 ^ -2,ignore,none,asis,0,,,,,,,,,,,,,,,
-0.611,-0.213,2,2368.518,923.592,Thu Aug 10 02:36:48 2017,parRF,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1246,24,cv,5,6,1,5,2,,,,,,
0.444,-0.013,0,1978.551,318.907,Thu Aug 10 02:36:53 2017,pcaNNet,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1247,4,cv,5,6,1,5,6,6.6881586925239e-05,,,,,
-0.328,-0.012,3,1976.223,761.274,Thu Aug 10 02:36:55 2017,pcr,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1248,2,cv,5,6,1,5,3,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Thu Aug 10 02:37:02 2017,pls,8,1,polynomial C1 ^ -2,ignore,none,asis,9,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:37:06 2017,plsRglm,8,1,polynomial C1 ^ -2,ignore,none,asis,4,,,,,,,,,,,,,,,
-1.393,-0.602,2,NA,NA,Thu Aug 10 02:37:09 2017,ppr,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1251,3,cv,5,6,1,5,2,,,,,,
Fail,Fail,Fail,Fail,PackageFail,Thu Aug 10 02:37:17 2017,pythonKnnReg,8,1,polynomial C1 ^ -2,ignore,none,asis,10,,,,,,,,,,,,,,,
0.453,-0.009,9,1969.409,313.586,Thu Aug 10 02:38:03 2017,qrf,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1253,46,cv,5,6,1,5,9,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:38:08 2017,qrnn,8,1,polynomial C1 ^ -2,ignore,none,asis,5,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:38:08 2017,randomGLM,8,1,polynomial C1 ^ -2,ignore,none,asis,0,,,,,,,,,,,,,,,
-0.593,-0.216,2,2373.776,913.12,Thu Aug 10 02:38:20 2017,ranger,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1256,11,cv,5,6,1,5,2,,,,,,
-0.429,-0.09,1,2128.641,819.398,Thu Aug 10 02:39:58 2017,Rborist,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1257,98,cv,5,6,1,5,1,,,,,,
0.15,-0.033,49514.95,NA,NA,Thu Aug 10 02:40:01 2017,relaxo,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1258,3,cv,5,6,1,5,49514.952496329,0.8059321321,,,,,
-0.516,-0.075,1,2099.883,869.069,Thu Aug 10 02:40:18 2017,rf,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1259,17,cv,5,6,1,5,1,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:40:22 2017,ridge,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:40:26 2017,rlm,8,1,polynomial C1 ^ -2,ignore,none,asis,4,,,,,,,,,,,,,,,
-0.568,-0.396,0,2726.518,898.763,Thu Aug 10 02:40:29 2017,rpart,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1262,2,cv,5,6,1,5,1.32196503029202e-10,,,,,,
-0.581,-0.386,-1,2706.028,906.055,Thu Aug 10 02:40:31 2017,rpart1SE,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1263,2,cv,5,6,1,5,none,,,,,,
-0.581,-0.386,3,2706.028,906.055,Thu Aug 10 02:40:33 2017,rpart2,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1264,2,cv,5,6,1,5,3,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:40:34 2017,rqlasso,8,1,polynomial C1 ^ -2,ignore,none,asis,1,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:40:35 2017,rqnc,8,1,polynomial C1 ^ -2,ignore,none,asis,1,,,,,,,,,,,,,,,
-0.669,-0.775,0.72,3466.122,956.862,Thu Aug 10 02:41:31 2017,RRF,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1267,56,cv,5,6,1,5,8,0.0034756572,0.7195844934,,,,
-0.621,-0.338,0.101,2612.127,929.5,Thu Aug 10 02:42:04 2017,RRFglobal,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1268,33,cv,5,6,1,5,3,0.1005816702,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:42:14 2017,rvmLinear,8,1,polynomial C1 ^ -2,ignore,none,asis,9,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:42:59 2017,rvmPoly,8,1,polynomial C1 ^ -2,ignore,none,asis,44,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:43:45 2017,rvmRadial,8,1,polynomial C1 ^ -2,ignore,none,asis,46,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:43:49 2017,SBC,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
-1.074,-0.165,8,NA,NA,Thu Aug 10 02:43:51 2017,simpls,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1273,2,cv,5,6,1,5,8,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:44:56 2017,spikeslab,8,1,polynomial C1 ^ -2,ignore,none,asis,65,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:45:00 2017,spls,8,1,polynomial C1 ^ -2,ignore,none,asis,4,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:45:03 2017,superpc,8,1,polynomial C1 ^ -2,ignore,none,asis,3,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:45:04 2017,svmBoundrangeString,8,1,polynomial C1 ^ -2,ignore,none,asis,0,,,,,,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Thu Aug 10 02:45:05 2017,svmExpoString,8,1,polynomial C1 ^ -2,ignore,none,asis,0,,,,,,,,,,,,,,,
NA,NA,3.827,NA,NA,Thu Aug 10 02:45:12 2017,svmLinear,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1279,8,cv,5,6,1,5,3.827344444,,,,,,
0.444,-0.013,29.311,1978.19,318.884,Thu Aug 10 02:45:31 2017,svmLinear2,8,1,polynomial C1 ^ -2,ignore,none,asis,1952.7318081946,random,1280,18,cv,5,6,1,5,29.3111107567,,,,,,
